Nama	Alamat	Email	website	Telp	Fax	Pengasuh
Pondok Pesantren Al - Faqih (Putra-Putri)	Jl. Kebon Melati No. 02 AA Ds. Babakan Kec. Ciwaringin Kab. Cirebon Jawa_Barat 	  dukun_tampan@yahoo.com	  - 	 08588 534 99 38 	 - 	Ust. SYAFI'I NASIHIN
Pondok Pesantren Al -Hasyimiyah (Putra-Putri)	Jln. Sewan Neglasari Tangerang Banten Banten	-	-	 021055763563  	-	Drs. Mustaya Hasyim
Pondok Pesantren Al Abror (KH.Chambali utsman) (Putra-Putri)	jl.raya yomani km3 lebaksiu tegal Jawa_Tengah 	  amighost90@yahoo.com	-	 (0283)463788  	-	KH.Chambali Utsman
Pondok Pesantren Al Azhar (putri|-|)	Jl.Pandaan no.3 SidowayahBeji Pasuruan Jawa Timur 	  alazharkupunya@yahoo.co.id	-	 (0343) 742392  	-	K. Moh. Dahlan Muzammil
Pondok Pesantren Al Hamid	Jl Mabes TNI No 1 Cilangkap Cipayung Jakarta Timur DKI_Jakarta	-	-	 021 8447901  	-	
PONDOK PESANTREN AL HASAN (PUTRA-PUTRI)	JLN. JEND. A. YANI DAWUAN BARAT CIKAMPEK KARAWANG JAWA BARAT 	  Akang.aan03@gmail.com	-	 087879977711  	-	KH.AHMAD HIDAYAT
Pondok Pesantren Al Hidayah (Putra-Putri)	Jl. Basmol Kp. Basmol Kembangan Jak-Bar DKI_Jakarta	-	-	 	-	KH. Hasyim Mas'ud, KH. Syarifuddin Abdul Ghani, MA, KH. Alawi Zein
Pondok Pesantren Al Hidayat Al Ma'shumi	Jl. Gambiran No. 42 Soditan Kecamatan Lasem, Kabupaten Rembang Kode Pos 59261 Jateng 	  Affan_Al_Lasimiy@Yahoo.com	-	 (0295) 531311  	-	1. Nyai Hj. Azizah Ma'shum
Pondok Pesantren AL Ikhlas Assalafy (Putra)	Jl. Bukit Kencana RT 01/RW X Rejosari, Meteseh, Tembalang Jawa_Tengah	-	-	 085640012345  	-	Muhlisin
Pondok Pesantren Al Iman Putra Ponorogo (Putra)	Ngambakan Bangunrejo Sukorejo Ponorogo Jawa_Timur	-	-	 0352 751414 	 0352 751414 	KH. Achmad Zawawi
Pondok Pesantren Al Islam Yogyakarta (63)	Jl. Bantul Km 2, Condronegaran,Gedongkiwo MJ I/814 - 890 Yogyakarta 55142 DIY 	  ppalisyk@gmail.com	-	 0274-389435 	 0274-389435 	Endarka Hana Dirja Subrata, SH
Pondok Pesantren Al Itqon (Putra-Putri)	Jl. H.Selong Duri Kosambi Cengkareng DKI_Jakarta	-	-	 	-	KH. Mahfudz Asirun An-Nadawi
Pondok pesantren al mubarok (Putra-Putri)	Derso dawung tegalrejo magelang jawa tengah Jawa_Tengah 	  Wahjoe_ar@yahoo.co.id	-	 085643712033  	-	K. Wahyu mubarok
Pondok Pesantren Al Mubarok (putra-putri)	Jl. Brumbungan 194 Mranggen Demak  59567 Jawa Tengah 	  ponpesalmubarok@yahoo.com	-	 (024) 76745006, 70792035  	-	KH. Abdullah Ashif Makhdum, Lc
Pondok Pesantren Al Munawwar (putra-putri)	Mardisari Kel. Kertosari Kab. Temanggung Jateng 	  almunawartmg@yahoo.co.id	-	 0293 492921  	-	KH. Amien Wasthony
Pondok Pesantren Al Muthmainnah (275)	Desa Punti Kec. Soromandi Bima NTB 	  Fahrisadam@ymail.com	  - 	 081337094132 	 - 	Ust. Marwan Al Hakim
Pondok Pesantren Al Umm (Mahasiswa)	Jl. WR Supratman Gg. Jamblang No. 30 Kp. Utan - Cempaka Putih - Ciputat - Tangerang Banten 	  ubaidillah_313@plasa.com	-	 021-7491113  	-	KH. Drs. Syaikh Misbahul Anam, MT
pondok pesantren al-anisiyah (Putra-Putri)	jiwan rt 02/06 ngemplak kartasura surakarta Jawa_Tengah 	  sdit_alanis@yahoo.co.id	  www.cybernu.net/sditalanis 	 +628122602635 	 - 	KH. Nadjib Muhammad
Pondok Pesantren Al-Anshor (putra-putri)	Jl. Terusan Kopo no.492A Bandung Kawa Barat	-	-	 5415955  	-	KH. Drs. Nundang Asif Nurhalim
Pondok Pesantren Al-Aulia (Putra-Putri)	Situ Ilir Cibungbulang Bogor Jawa Barat Jawa_Barat 	  al_aulia@yahoo.co.id	  - 	 - 	 - 	KH. Abdurrahim Sanusi, Lc
Pondok Pesantren Al-Falak (Putra-Putri)	Pagentongan RT.01/06, Kel.Loji, Kec.Bogor Barat, Kota Bogor 16617 Jawa_Barat 	  ponpes.alfalak@gmail.com	-	 0251-379629  	-	KH.Tb.A.F.Badru Zaman & MH,Tegap Pratama
Pondok Pesantren Al-Fatah (Putra-Putri)	Ds/Kec. Gununghalu Kab. Bandung Barat 40565 Jawa_Barat 	  pp.alfatah@gmail.com	-	 (022) 6950478  	-	K.H. A. Royani
Pondok Pesantren Al-Furqon (Putra-Putri)	Kp,Katupang Pasir -Sika maju-Cikeusal-Serang-Banten Banten	-	-	 08521673652  	-	Enouh Juaidi dan Subarta
Pondok Pesantren Al-Furqon (Putra-Putri)	Curugwetan Kec. Susukanlebak Kabupaten Cirebon Jawa_Barat 	  alfurqonponpes@yahoo.com	-	 +6281514474667  	-	K. Maulana Djazuli, K. Jalalul Bulqini
Pondok Pesantren Al-Haramain Al-Islami (Putra-Putri)	Pulau Panggung Semendo Darat laut Kab Muara Enim Sumatera_Selatan 	  amu_cps@yahoo.com	  http://imamelharamain.wordpress.com/ 	 081367177408/08194813984  	-	KH. Muhammad Dainawi alias Gerentam Bumi
PONDOK PESANTREN AL-HASAN (Putra-Putri)	Jl. Jend. Ahmad Yani No. 120 Ciamis 46211 Jawa_Barat	-	-	 0265771889  	-	K.H. Moch Syarif Hidayat
Pondok Pesantren Al-Hasan (30 Santri)	Jl. Raya Malingping Km.01 Saketi Kab. Pandeglang Banten 	  ypihsaketipandeglang@yahoo.co.id	-	 (0253) 402063  	-	Ust. Drs. Ian Supyani
Pondok Pesantren Al-Iksan (Putra-Putri)	Jl Cipelem Bulakamba Brebes Jawa_Tengah 	  info_aliksan@plasa.com	  www.al-iksan-cyber.com 	 +62-283-3302710 	 +62-283-3302710 	KH Abdul Wahab Nawawi. KH Drs.Maskuri Rosyidin. KH Muh Nasir. KH Zaen. KH Mukdir. Ustad Zamroni Kars
Pondok Pesantren Al-Inshof (50)	Jl. Pesantren No. 1 Sulurejo, Plesungan, Gondangrejo, Karanganyar Jawa Tengah 	  admin@al-inshof.net	  http://www.al-inshof.net 	 02712098958 	02712098958	KH. Abdullah Sa'ad
Pondok Pesantren Al-Ishlah (putra-putri)	Jl.Gunung Agung 36 Jawa Timur 	  -	  - 	 0336 - 441784 	 - 	K H Sueb Syaifullah
Pondok Pesantren Al-Kamal (Putra-Putri)	Kunir Wonodadi Blitar Jawa_Timur 	  asmawi_Mahfudz@yahoo.com	-	 0342551047,551640  	-	Drs. KH. Mahmud Hamzah, SH
Pondok Pesantren Al-Khoirot (300)	Jl. KH Syuhud Zayyadi 01 Karangsuko, Pagelaran, Malang Jawa Timur 	  info@alkhoirot.com	  http://www.alkhoirot.com 	 0341-879730  	-	KH A. Fatih Syuhud
Pondok Pesantren Al-Ma'arif (Putra-Putri)	Karanggondang, Penggung, Boyolali, Jawa Tengah Jawa_Tengah 	  pesantrenalmaarifboyolali@telkom.net	  - 	 02763330593/081553202323 	02763330593	KH. Mansyur Dimhari, BA
Pondok Pesantren Al-Matiin (Putra-Putri)	Jl. Musyawarah Rt.05/04 Sawah, Ciputat, Tangerang Jawa_Barat 	  mas_barok@yahoo.com	  - 	 72745022 	 - 	KH. Ucup Ridwan Saputra
Pondok Pesantren Al-Matsani Takhasus Al-Qur'an (Putra-Putri)	Desa Tumiyang, Kecamatan Pekuncen, Banyumas 53164 Jawa_Tengah	-	-	 08159473352  	-	Kiai Ridwan Ghozali al-Hafidz
PONDOK PESANTREN AL-MUBARAK	JALAN POROS MAKASSAR PALOPO, KELURAHAN TOBARAKKA, PITUMPANUA, KABUPATEN WAJO, Sulawesi_Selatan	-	-	 0421 :22611  	-	Prof. Dr. H.A. Syamsul Bahri, MA
PONDOK PESANTREN AL-MUHAJIRIN (Putra-Putri)	JL. VETERAN KEBON KOLOT PURWAKARTA Jawa_Barat	-	-	 0264-200008 	0264200008	KH. DRS. ABUN BUNYAMIN, MA
Pondok Pesantren Al-Multazam (putri)	Kepuhanyar Mojoanyar Mojokerto Jawa Timur 	  ppalmultazam@al-multazam.org	  www.al-multazam.org 	 62-321-325406 	 62-321-327316 	KH Makinuddin Qomari
Pondok Pesantren Al-Munawir	Desa Gringsing Kecamatan Gringsing Kabupaten Batang Jateng Jawa_Tengah	-	-	 (0294) 3645314  	-	KH. Solihin
Pondok Pesantren Al-Mustoffa	Jl. Mesjid Al-Huda 16 Pandes Cepiring Kendal Jawa_Tengah	-	-	 0294 382389  	-	KH. Ahmad Rosyidi
pondok pesantren AlFattaah (Putra-Putri)	jl.sultan fatah setinggil demak Jawa_Tengah	-	-	 (0291)681200  	-	Drs.KH Abdulloh Arief Cholil.SH.MA
PONDOK PESANTREN ALFATTAAH (putra-putri)	JL. SULTAN FATAH SETINGGIL BINTORO DEMAK JAWA TENGAH 	  doktren.alfattaah@gmail.com	  doktren-alfattaah.co.cc 	 (0291) 681200 (Kantor Putra) / 685991 (Kantor Putri & Kanak-kanak) 	 - 	KH. OEMAR KHALIEL, KH. Drs. ABDULLAH ARIF KHOLIL, SH, MA
PONDOK PESANTREN ALHIKMAH (49)	JL. SANGKAR MAS NO.15A KEL. NUNBAUN SABU KEC. ALAK KOTA KUPANG NUSA TENGGARA TIMUR 	  alhikmahkupang@gmail.com	  http://alhikmahkupang.wordpress.com 	 0380-890149 	 0380-890149 	ADAM SUPRAYITNO
PONDOK PESANTREN ALHUDA JETIS (Putra-Putri)	KOMPLEK PONPES â ALHUDAâ JETIS â KUTOSARI â KEBUMEN â JAWA TENGAH.   Jawa_Tengah 	  abunaila_1977@yahoo.co.id	  www.alhudajetis.wordpress.com 	 0287-384964 	 0287-384964 	1. K.H. Wahib Machfudz  2. K.H. Yazid Machfudz
PONDOK PESANTREN ALMUBARAK DDI TOBARAKKA (putra|-|putra-putri)	Jalan Poros Makassar Palopo KM. 100 Kel.Tobarakka Kec.Pitumpanua Kab.Wajo Sulawesi Selatan 	  -	  - 	 0472 321202 	 - 	1.Prof.DR.H.Andi Syamsul Bahri,MA 2.Drs.Andi Muh.Yusuf,MA
pondok pesantren an-nawawi (Putra-Putri)	kutorejo-bagor-nganjuk Jawa_Timur	-	-	 (0358)324412  	-	IMAM SYAFI\'I NAWAWI
Pondok Pesantren An-Nidhom (Putra-Putri)	Panjalu Selabintana Sukabumi Jawa_Barat	-	-	 0266219916  	-	KH. Abdullah Mukhtar
Pondok Pesantren Annuqayah (Putra-Putri)	Jln. Makam Pahlawan No 2. Guluk-Guluk Sumenep Madura 69463 Jawa_Timur 	  info@annuqayah.org	  http://www.annuqayah.org/ 	 +62328-823341 	 +62328-823341 	KH. Ahmad Basyir AS
pondok pesantren ANNUR (Putra-Putri)	jl kahmuchtar thabrani 51 perwira bekasi utara kota bekasi Jawa_Barat 	  reahmad2@yahoo.com	-	 0218870585 	02188971941	Ust Ahmad Ushtuchri, UStdz HJ Siti Aisyah, KH Sofyan Junaidi, Ust Ahmad Muzhoffar
Pondok Pesantren As Salafi Al Fithrah Gunungpati (Putra-Putri)	Jl. Raya Ungaran - Gunungpati Km.4 Sumurrejo Gununngpati Semarang Jawa_Tengah 	  malfi_ali@yahoo.com	  http://ponpesalfithrahgp.wordpress.com 	 (024) 70799949  	-	Kyai Muhammad Luthfi Ghozali
Pondok Pesantren Asalafiyah (Putra-Putri)	Jl Luwungragi Bulakamba Brebes Jawa_Tengah	-	-	 +62-81-8286843  	-	KH Subhan Ma'mun
Pondok Pesantren ASSHIDIQIYAH (Putra-Putri)	Surya Sarana Kedoya Utara Kebon Jeruk DKI_Jakarta 	-	  //www.geocities.com/asshiddiqiyah/index.html	 021-5803046, 5801650 	 021-5517950 	DR. KH. NOER ISKANDAR, SQ.
PONDOK PESANTREN AT TAWAZUN (Putra-Putri)	JL. sIRNA RAGA DSN. MEKARSARI DESA KALIJATI BARAT - KALIJATI sUBANG Jawa_Barat 	  AT_TAWAZUN@YAHOO.COM	-	 (0260)462712  	-	KH.MUSYFIQ AMRULLAH, Lc.
Pondok Pesantren At-Taujieh al-Islamy (Putra-Putri)	Leler Randegan Kebasen Banyumas Jawa_Tengah	-	-	 	-	KH. Atha'urrahman Hisyam, KH. Dzakiul Fuad Hisyam, KH. Zuhrul Anam Hisyam, KH. Nashuha Kurdi, KH. Sy
Pondok Pesantren At-Thahiriyah (Putra-Putri)	Komplek PERISAI (Perguruan Islam Bani Thohiri) Darmaloka Rt.09 Rw. II Desa Darma, Kecamatan Darma 45562 Kabupaten Kuningan Jawa Barat Jawa_Barat 	  perisai@gmail.com	  http//www.perisai.blogspot.com 	 0232 8880056-60 / 085216309384 	 0232 8880056 	K.H. Amung Turhamun
Pondok Pesantren Attarbiyatus Salafiyah (Putra-Putri)	Sidadadi RT 02/V Bulaksari Bantarsari Cilacap Jawa_Tengah	-	-	 	-	KH Khanafie Abdurrokhim
pondok pesantren babul khairat (Putri)	jl. ngamarto 1 no. 426 lawang malang Jawa_Timur 	  humas@babulkhairat.net	  www.babulkhairat.net 	 0341-426885  	-	habib umar bin muhsin al-atthas
Pondok Pesantren Attaufik	Ciucing Desa Sari Bakti Kecamatan Peundeuy Singajaya -  Kabupaten Garut Selatan Jabar	-	-	 	-	K.H. Abdul Fatah Ma'sum
Pondok Pesantren Bahauddin Al Isma'iliyyah (Putra-Putri)	Ngelom 21 Taman Sidoarjo Jawa_Timur 	  ponpes.ismailiyyah@gmail.com	-	 0317881748  	-	K.H. Sholeh Qosim
Pondok Pesantren Baitulhikmah Haurkuning (Putra-Putri)	Kp. Haurkuning Ds. mandalaguna Kec. Salopa Kab Tasikmalaya 46192 Jawa_Barat	-	-	 081386592386  	-	KH. Saefuddin Zuhri
Pondok Pesantren Baiturrahman (Putra-Putri)	Jl. Rancakole Kp. Bojong Ds. Cikoneng, Ciparay - Bandung Jawa_Barat 	  baiturrahmanadmin@gmail.com	  http://pontrenbaiturrahman.co.nr 	 022-70844267  	-	KH. Ir. Iman Abdurahman
Pondok Pesantren Benda Kerep (Putra-Putri)	Benda Kerep - Argasunya - Kota Cirebon Jawa_Barat	-	-	 	-	
Pondok Pesantren Bidayatussalikin (Putra-Putri)	KANTONGAN TRIHARJO SLEMAN DI_Yogyakarta 	  ustadz.h.deny@gmail.com	  www.bidayatussalikin.com 	 0274-7461787 - 08122735111  	-	Ustadz H. Abdullah Deny Setiawan Wayoi.SE.MPd
Pondok Pesantren BSC AL-FUTUWWAH (Putra-Putri)	Jl. H. Tholib Cipete Utara Kebayoran Baru DKI_Jakarta 	  bscalfutuwwah@gmail.com	-	 7280 1327 	 719 6372 	Muhammad Sanwani Na'im
Pondok Pesantren Cipari (Putra-Putri)	Jl. Cipari no. 321 RT.01 RW.06 Ds.Sukarasa Kec. Pangatikan Kab.Garut Jawa_Barat 	  fuadz_cipari@yahoo.com	-	 444817 / 444671 	 - 	KH. Dr. Amin Bunyamin, Lc. Hc.
Pondok Pesantren Daarul Istiqoomah	Jl. H. Satibi Simpang Empat Cileungsi 16820 Kab. Bogor Jabar 	  ponpes_daarul_istiqoomah@yahoo.com	-	 (021) 8236755, 82492847  	-	K.H. Aos Firdaos (Ketua MUI Cileungsi)
Pondok Pesantren dan Madrasah Al Muhammad Cepu (putra|-|)	Jalan Blora No 151 Cepu Jawa Tengah	-	-	 0296-421515 	 0296-425136 	Abdul Chalim Mujtaba, MHI
Pondok Pesantren Darrul Muttaqien (Putra-Putri)	Jalan Raya Mauk No.1 Banten	-	-	 	-	
Pondok Pesantren Darul Falah	Jl. Hasanudin 54 awang-awang Mojosari Mojokerto Jawa Timur	-	-	 (0321) 591967  	-	Drs. KH. R. Mahmudi SH., MM.
Pondok Pesantren Darul Furqan (putra-putri)	Jl. Pendidikan Sawang Laut Kec. Kundur Barat Kab. Karimun Kepulauan Riau 	  ppdarulfurqan_humas@yahoo.com	  www.darulfurqan.com 	 08127081760, 081364575595  	-	H. Abdul Wahab, S.Ag
Pondok Pesantren Darul Hijrah Putri Batung	Banjarbaru Po Box 40, Batung Cindai Alus Martapura Kalimantan Kalimantan_Selatan	-	-	 (0511) 7479031  	-	K.H.Drs Muhammad Nasrul Mahmudi, Drs. H. Syahrudi Ramli
Pondok Pesantren Darul Hikmah	Ds Celong Pajanangger Arjasa Sumenep Madura Jawa_Tengah	-	-	 	-	
PONDOK PESANTREN DARUL MURSYIDIN (Putra-Putri)	Jl. Lintas Simpang -Empat  - Sasak  km 6,5 , Nagari Kapa, kec. Luhak Nan Duo, Kab.Pasaman Barat Sumatera_Barat 	  mufti_invest@yahoo.co.id	-	 081266900125  	-	H.M.SYEKH MUSTHAFA KAMAL
Pondok Pesantren Darul Muttaqien (Putra-Putri)	Jln. Raya Jakarta Bogor KM. 41 Po Box 25 Jabon Mekar, Parung, Bogor 16330 Jawa_Barat 	  info@darul-muttaqien.com	  www.darul-muttaqien.com 	 0251-616212 	 0251-611884 	Drs. KH. Mad Rodja Sukarta
Pondok Pesantren Darul Ulul (Putra-Putri)	Jln. Marsekal Surya Dharma KM. 5 - Kp. Rawarotan - Kel. Selapajang Jaya - Kec. Neglasari - Kota Tangerarng Banten 	  ponpen_darululum@yahoo.co.id	  www.ponpes-darululum.sch.id 	 0215503103 / 5590952  	-	K.H Ahmad Suhaimi Hasan, Kyai Jeje Abdul Hakim
Pondok Pesantren DARUR ROHMAN (Putra-Putri)	Jl.Pesantren Urek-Urek Gondanglegi Malang Jawa_Timur	-	-	 03417694349,03417041612  	-	K.Ihsan An'im
pondok pesantren darussalam (Achmad Muzaky)	jatibarang-brebes jawa tengah 	  muzaki29@yahoo.co.id	-	 085740363163  	-	KH. Syekh sholeh muhammad basalamah
Pondok Pesantren DARUTTAIBIN (Putra-Putri)	Ds/Kec. Campurdarat Kab. Tulungagung Jawa_Timur 	  doktren_drt@telkom.net	-	 0355-532771, 533515  	-	KH. Moh. Syamsuddin Dimyathi
PONDOK PESANTREN DDI ASSHIRATHAL MUSTAQIM BARU-BARU TANGA (800)	JALAN HAJI GASSING. KEL. BONTO PERAK. KEC. PANGKAJENE SULAWESI SELATAN 	  asshirathalmustaqim@yahoo.co.id	  asshirathal-mustaqim.blogspot.com 	 04102311164 	 - 	Drs. K. H. Hijruddin Mujahid
Pondok Pesantren Fajar Dunia Cileungsi	Desa Mampir Kp Palasari Cileungsi Bogor Jabar Jabar	-	-	 021-9191501, 0812 1056 853  	-	Ust Abu Arief. Lc
Pondok Pesantren Gedongan (Putra-Putri)	Desa Ender Kec. Pangenan Kab. Cirebon Jawa_Barat	-	-	 	-	KH. Amin Siraj
PONDOK PESANTREN HIDAYATURROHMAN	Gebang, Bonang, Demak,  Jawa Tengah 59552 Jawa_Tengah 	  utami_jepara@yahoo.com	-	 (0291) 688057  	-	K.H. Asnawi Ali
Pondok Pesantren Hudatul Muna Dua (putra-putri)	Jl. Yos Sudarso 2 B Jenes Brotonegaran Kec. Ponorogo Kab. Ponorogo Jawa Timur 	  pphm2jenes@gmail.com	-	 (0352) 487217 	 (0352) 458233 	KM. Munirul Djanani, S.Pd.I
Pondok Pesantren Ihyaul Ulum (Putra-Putri)	Jl. Muh. Saleh Bone No. 1 Majene Sulawesi_Selatan 	  -	  - 	 (0422)  21707 	 (0422)  21707 	Maskur
PONDOK PESANTREN ILMU AL-QUR'AN (PPIQ) (Putra-Putri)	JL. BUKIT ASRI 35 CIOMAS BOGOR Jawa_Barat 	-	  WWW.MYQURAN.COM	 0251635004 	0251635004	KH. DRS. MUSTOFA KAMAL JUSUF
Pondok Pesantren Islamiyah	Jl. Raya No. 01 Tanggulangin-Sidoarjo 61272 Jatim Jatim	-	-	 031-8950034  	-	KH AFIFUDDIN MU'ID / Ust. ACH. ZAHID SYAKUR
pondok pesantren la masyhad ( K H Sukbi Masyhadi ) (putra-putri)	Sampangan VI / 7 Pekalongan Jawa Tengah	-	-	 081219100555  	-	K. H. Subki Masyhadi
pondok pesantren Madinah al-Munawwarah Buya Naska (Mahasiswa)	Depan Komp. Andalas makmur Belakang Mesjid baiturahman Anduring Kel. Kubu Dalam Parak Karakah Kec. Padang Timur Kota Padang Sumatera_Barat 	  ponpes_madinah@yahoo.co.id	  - 	 07517878730 	07517878730	Ust. Asril Naska, SHI
PONDOK PESANTREN MAHASISWA AL FATTAH (100)	Krapyak Kartasura Kartasura Sukoharjo Jawa Tengah	-	-	 	-	KH. Moh. Mahbub, S.Ag., M.Si.
Pondok Pesantren Mahasiswa Luhur Wahid Hasyim (Mahasiswa)	Jl. Menoreh Tengah II/ 14 Sampangan Semarang Jawa_Tengah	-	-	 02470137586 	0248505680	Drs. KH. Amjad Al Hafidz Bsc.
Pondok Pesantren Mahasiswa Miftahul Khoir (Para Mahasiswa dari berbagai universitas di bandung)	jl. tubagus ismail VIII no.60 Dago Bandung Jawa Barat 	  info@ppmmiftahulkhoir.com	  http://www.ppmmiftahulkhoir.com 	 (022)2502757 / 085720834632  	-	Ust. Ajil Yumna
Pondok Pesantren Manbaul Ulum (putra-putri)	Jl.Jend.A.Yani Km.7.200 Jl.Mahligai Kertak Hanyar Kab.Banjar Kalimantan Selatan 	  haji.adoer@gmail.com	  http://ponpes-manbaululum.info 	 0511-3260315 	 - 	KH.M.Ghazali Mukeri, Lc
PONDOK PESANTREN MANSYAUL HUDA (Putra-Putri)	Jl. RAYA SARANG KM.02 Karangmangu Srang Rembang Jawa_Timur 	  -	  - 	 085226369999 	 - 	KH. ABU NAIM
PONDOK PESANTREN MANSYAUL HUDA (PMH Sarang) (putra-putri)	Jl. Raya Sarang KM.02 Karangmangu Sarang Rembang Jawa Tengah 	-	  -	 - 	 - 	KH. ABU NAIM
Pondok Pesantren Margasari Cijawura (Putra)	Jalan Margasari 221 Rt 04 Rw 10 BuahBatu kota Bandung Jawa_Barat 	  cengmar@yahoo.com	-	 (022) 7500188  	-	KH.Amin Faqih
Pondok pesantren miftahul iman (Putra-Putri)	Jl.Singaperbangsa Rt.o3 Rw.04 dusun Kosteng Desa Sukatang Kec.Cilamaya Wetan Kab.Karawang 41384 Jawa_Barat	-	-	 0857 803 637 93  	-	Kyai Mulyana Zainuddin Spd.i
Pondok Pesantren Miftahul Ulum Panyepen (Putra-Putri)	Jl Raya Palengaan km 11 Pamekasan Jawa_Timur	-	-	 0324 323789  	-	KH Mudatstsir Badruddin
Pondok Pesantren Minhajutthalibin Pungangan (Putra-Putri)	Jl. Pungangan, Rancabango, Patokbeusi, Subang 41263 Jawa_Barat	-	-	 	-	KH. Mahfudz Romly
Pondok Pesantren Mirqot Ilmiyah Al-Itqon Jakarta B (Putra-Putri)	Jl. H. Selong No. 14 RT.005/03 Duri Kosambi Cengkareng Jakarta Barat 11750 DKI_Jakarta 	  pmirqotilmiyahalitqon@yahoo.co.id	  www.ponpesalitqon.blogsot.com 	 (021) 5453788 	 (021) 5453788 	KH Mahfudz Asirun Annadawy
Pondok Pesantren Modern (Putra-Putri)	Pincuran Tinggi Penyelaian, Xkoto Sumatera_Barat	-	-	 Telp (0752) 83138 ï¾ 83425  	-	KH. Riza Muhammad Ys.Lc
Pondok Pesantren Modern & Salafy As-Syamsuriyyah (putra-putri)	Ds. Jagalempeni Kec. Wanasari Kab. Brebes Jawa Tengah 	-	  www.guszani.blogspot.com	 ( 0283 ) 3343987-6123750/087830066555  	-	KH. Asmuni Sjamsuri
pondok pesantren modern al hidayah (putra|-|)	jl. merdeka 282 sukamaju singingi hilir kuansing riau 	  sugialhidayah@gmail.com	  www.ppm-alhidayah.blogspot.com 	 081933699908  	-	K M Sukiman
Pondok Pesantren Modern Al-Furqon (Putra-Putri)	Jl. Maulana Yusuf No. 19A Rt. 02/02 Tegal Cabe Cilegon Banten	-	-	 0254 396584  	-	H. Lukman Harun
Pondok Pesantren Modern Al-Ihsan Baleendah (Putra-Putri)	Jl. Adipati Agung 40 Baleendah Jawa_Barat 	  asis@telkom.net.id	  - 	 022-5946293 	 022-5946293 	KH.U.Muhammad HM.
Pondok Pesantren Modern As-Salam (Putra-Putri)	Pabelan PO Box 286 Kartasura Sukoharjo - Surakarta 57102 Jawa Tengah Jawa_Tengah 	  info@assalaam.or.id	  http://www.assalaam.or.id 	 0271-718741 	 0271-715470 	KH. Chozin Shiddiq, KH. Ahmad Rosyidi Asyrofi, Lc.
Pondok Pesantren Modern Ash-Habul Kahfi (Putra-Putri)	asam Pulau, kec. 2x11 Kayu tanam, kab. Padang Pariaman Sumatera_Barat	-	-	 081374562491/085263325460  	-	H. Budiman, Lc
Pondok Pesantren Modern Darunna'im	JL.Leuwi Damar Km.04 Cirende Rangkasbitung Kab.Lebak Banten 42351 Jabar 	  ale_darunn'aim@yahoo.com	-	 ( 0252 ) 5501315  	-	KYAI HAJI OMI QOZIMI
PONDOK PESANTREN MODERN IBNU SINA (Putra-Putri)	Jl. Sukarno Hatta 174 B Mojongapit Jombang Jawa_Timur 	  ppmibnusina@yahoo.com	-	 (0321) 865696  	-	Prof. DR. KH. A. Masjkur Anhari, SH., M.Pd.I.
PONDOK PESANTREN MODERN ISLAM  ASSALAAM (Putra-Putri)	Pabelan PO.Box 286 Sukoharjo Jawa Tengah Jawa_Tengah 	  info@assalaam.or.id	  www.assalaam.or.id 	 718741 	718740	Ust. Ma'ruf Rahmat
Pondok Pesantren Modern Nurul Alami (Putra-Putri) (Putra-Putri)	Kp.Panyaweuyan-Dahu-Cikeusal-Serang-Banten Banten Banten 	  nurul_alami@yahoo.co.id	-	 081513316960  	-	Amung Permana Yusuf Dan Mahsun
Pondok Pesantren Modern Raden Paku (Putra-Putri)	Jl. Ki Mangun Sarkoro 17 BTrenggalek Jawa_Timur 	  radenpakugalek@yahoo.com	-	 0355796030 	0355796030	Drs. KH. Imam Daroni, mm
Pondok pesantren Modern Sahid (Putra-Putri)	Jl. Kapt. Dasuki Bakri Km 6, Gunung Menyan Pamijahan Bogor 16630 Jawa_Barat 	  Info@pesantrenmodernsahid.or.id	  pesantrenmodernsahid.or.id 	 0251-8643436 	 0251-864350 	K.H. Ahmad Sadjid Zain
PONDOK PESANTREN MODERN SUBULUSSALAM KRESEK (Putra-Putri)	Jl. KH. Astari No.01 Kandanggede Kresek Tangerang Banten 	  subulussalamcollege@yahoo.com	-	 021-59380437 	 021-59380180 	KH. AHMAD MAIMUN ALIE, MA
Pondok Pesantren Modern Sunan Kalijaga	Dukuh Karangasem DesaDengkeng Rt2 Rw9 Kecamatan wedi Kabupaten Klaten Jawa_Tengah 	  PPMSuka@Plasa.Com	-	 081393327573  	-	Kyai Susilo Eko Pramono,S.Th.I.
PONDOK PESANTREN NURUL FALAH PUTRA	Batu, Karang Tengah, Demak,  Jawa Tengah 59561 Jawa_Tengah	-	-	 	-	Ustadz Nastaï¾in Syamsul Arifin
PONDOK PESANTREN NURUL HIDAYAH	Guyangan, Bangsri, Jepara, Jawa Tengah 59453. Jawa_Tengah 	  utami_jepara@yahoo.com	-	 	-	Ustadzah Nur Hidayah
Pondok Pesantren Nurul Hidayah (Putra-Putri)	Asrama Polisi Bengkong Riau 	  pnh@yahoo.com	-	 	-	Ust. Chepi Mahali
Pondok Pesantren Nurul Ihsan (Putra-Putri)	Ngemplak Kidul RT 03 RW III, Margoyoso, Pati 59154 Jawa_Tengah	-	-	 081326074253  	-	Ahmad Hasan Abdissalam
